customer_id,plan,quantity,purchase_date,total_spent
CTL006,Blue go plus l,2,2022-07-04,80000
CTL006,Blue one m,2,2022-02-15,6000
CTL006,Blue go xl,2,2022-06-13,40000
CTL007,Blue one m,2,2022-01-17,6000
CTL007,Blue go m,2,2022-11-14,10000
CTL007,Blue go plus l,1,2022-10-22,40000
CTL007,Blue home m,1,2022-10-17,25000
CTL007,Blue one s,1,2022-06-08,2000
CTL007,Blue go xl,1,2022-09-30,20000
CTL007,Blue sky l,1,2022-12-09,35000
CTL007,Blue sky m,2,2022-11-01,40000
CTL007,Blue one l,1,2022-09-05,5000
CTL007,Blue go plus m,2,2022-07-25,50000
CTL007,Blue sky m,1,2022-04-28,20000
CTL007,Blue go plus m,1,2022-04-03,25000
CTL007,Blue go plus S,1,2022-12-14,15000
CTL008,Blue one s,2,2022-02-23,4000
CTL008,Blue go plus l,1,2022-07-28,40000
CTL008,Blue go xl,1,2022-09-29,20000
CTL008,Blue go m,2,2022-06-22,10000
CTL008,Blue sky l,2,2022-07-13,70000
CTL008,Blue one l,1,2022-04-23,5000
CTL008,Blue home l,1,2022-12-10,40000
CTL008,Blue go xxl,2,2022-10-18,70000
CTL008,Blue one xl,1,2022-09-10,10000
CTL008,Blue go xxl,1,2022-02-14,35000
CTL009,Blue sky l,1,2022-05-06,35000
CTL009,Blue go plus S,2,2022-09-12,30000
CTL009,Blue go plus S,1,2022-09-11,15000
CTL009,Blue go l,1,2022-08-26,10000
CTL009,Blue go plus S,2,2022-02-28,30000
CTL009,Blue go m,1,2022-10-28,5000
CTL009,Blue go xxl,2,2022-03-01,70000
CTL009,Blue one l,1,2022-02-18,5000
CTL009,Blue sky m,2,2022-01-22,40000
CTL009,Blue go plus S,1,2022-09-04,15000
CTL009,Blue home l,1,2022-06-17,40000
CTL009,Blue home l,2,2022-08-01,80000
CTL010,Blue one s,1,2022-03-06,2000
CTL010,Blue sky m,1,2022-02-03,20000
CTL010,Blue home m,2,2022-04-29,50000
CTL010,Blue home s,2,2022-05-13,30000
CTL010,Blue go xxl,1,2022-11-18,35000
CTL010,Blue go xl,2,2022-03-11,40000
CTL010,Blue one m,1,2022-01-17,3000
CTL010,Blue go plus S,1,2022-11-23,15000
CTL010,Blue home s,2,2022-10-23,30000
CTL011,Blue go l,2,2022-10-14,20000
CTL011,Blue go l,1,2022-08-28,10000
CTL011,Blue go xl,1,2022-08-16,20000
CTL011,Blue go l,1,2022-05-07,10000
CTL011,Blue home m,2,2022-10-26,50000
CTL011,Blue go xxl,1,2022-10-03,35000
CTL012,Blue home s,1,2022-08-13,15000
CTL012,Blue one s,1,2022-12-12,2000
CTL012,Blue go plus m,1,2022-10-24,25000
CTL012,Blue go s,2,2022-04-13,4000
CTL012,Blue home s,1,2022-02-13,15000
CTL012,Blue one m,1,2022-10-10,3000
CTL012,Blue one m,2,2022-02-05,6000
CTL012,Blue sky m,1,2022-08-24,20000
CTL012,Blue home s,1,2022-10-21,15000
CTL012,Blue go l,1,2022-08-19,10000
CTL012,Blue go plus m,2,2022-11-09,50000
CTL012,Blue go xxl,1,2022-09-04,35000
CTL012,Blue one m,1,2022-03-21,3000
CTL012,Blue go plus m,1,2022-03-15,25000
CTL012,Blue sky m,1,2022-03-10,20000
CTL013,Blue go m,2,2022-04-17,10000
CTL013,Blue sky m,1,2022-05-18,20000
CTL013,Blue go s,2,2022-08-29,4000
CTL013,Blue home m,2,2022-10-22,50000
CTL013,Blue sky m,1,2022-12-10,20000
CTL013,Blue sky m,2,2022-08-09,40000
CTL013,Blue one m,2,2022-12-16,6000
CTL013,Blue one l,1,2022-01-26,5000
CTL013,Blue go plus S,2,2022-05-26,30000
CTL013,Blue go plus S,1,2022-09-21,15000
CTL014,Blue go plus l,2,2022-06-18,80000
CTL014,Blue go plus S,2,2022-04-06,30000
CTL014,Blue sky l,1,2022-01-26,35000
CTL014,Blue go xxl,2,2022-11-12,70000
CTL014,Blue go plus m,1,2022-10-30,25000
CTL014,Blue sky l,2,2022-09-12,70000
CTL014,Blue sky l,1,2022-02-02,35000
CTL014,Blue home s,2,2022-09-08,30000
CTL015,Blue home l,2,2022-06-06,80000
CTL015,Blue one xl,1,2022-02-11,10000
CTL015,Blue home m,2,2022-10-15,50000
CTL015,Blue one xl,2,2022-05-11,20000
CTL015,Blue go s,2,2022-05-12,4000
CTL015,Blue go xxl,1,2022-09-23,35000
CTL015,Blue one xl,2,2022-12-18,20000
CTL015,Blue go plus m,1,2022-12-22,25000
CTL015,Blue go plus S,2,2022-08-29,30000
CTL015,Blue home m,2,2022-10-12,50000
CTL015,Blue one l,1,2022-03-15,5000
CTL015,Blue go s,2,2022-07-11,4000
CTL015,Blue home s,2,2022-04-03,30000
CTL015,Blue go xl,1,2022-03-07,20000
CTL015,Blue go plus m,2,2022-01-03,50000
CTL016,Blue one xl,1,2022-06-29,10000
CTL016,Blue home l,2,2022-02-28,80000
CTL016,Blue go plus m,2,2022-06-26,50000
CTL016,Blue go l,2,2022-01-26,20000
CTL016,Blue go plus l,1,2022-01-14,40000
CTL016,Blue sky m,1,2022-03-25,20000
CTL016,Blue go plus S,1,2022-03-12,15000
CTL016,Blue home l,1,2022-09-03,40000
CTL017,Blue go s,1,2022-02-05,2000
CTL017,Blue go plus l,1,2022-09-10,40000
CTL017,Blue one m,1,2022-03-22,3000
CTL017,Blue go l,1,2022-02-19,10000
CTL017,Blue go xxl,2,2022-06-26,70000
CTL017,Blue go s,2,2022-06-19,4000
CTL018,Blue go s,2,2022-11-18,4000
CTL018,Blue home m,2,2022-11-28,50000
CTL018,Blue sky l,2,2022-11-01,70000
CTL018,Blue go l,1,2022-04-17,10000
CTL018,Blue go xl,2,2022-08-11,40000
CTL019,Blue home m,2,2022-03-08,50000
CTL019,Blue go plus m,2,2022-01-22,50000
CTL019,Blue sky m,1,2022-03-20,20000
CTL019,Blue one xl,2,2022-03-19,20000
CTL019,Blue home m,2,2022-12-09,50000
CTL019,Blue go l,1,2022-05-08,10000
CTL019,Blue go l,2,2022-11-03,20000
CTL019,Blue one s,1,2022-02-19,2000
CTL019,Blue go plus l,2,2022-02-21,80000
CTL019,Blue home m,1,2022-02-05,25000
CTL019,Blue one l,2,2022-07-23,10000
CTL019,Blue home m,1,2022-11-07,25000
CTL019,Blue one l,2,2022-11-08,10000
CTL020,Blue go l,2,2022-04-25,20000
CTL020,Blue one l,1,2022-03-18,5000
CTL020,Blue go m,2,2022-01-12,10000
CTL020,Blue one l,2,2022-01-30,10000
CTL020,Blue home m,2,2022-02-15,50000
CTL020,Blue go plus l,2,2022-12-26,80000
CTL020,Blue sky m,2,2022-04-24,40000
CTL021,Blue go xxl,1,2022-11-13,35000
CTL021,Blue home m,1,2022-05-21,25000
CTL021,Blue go xl,2,2022-10-28,40000
CTL021,Blue go plus S,1,2022-03-15,15000
CTL021,Blue sky l,1,2022-08-06,35000
CTL021,Blue go s,1,2022-02-09,2000
CTL021,Blue go l,2,2022-03-09,20000
CTL021,Blue go l,2,2022-09-06,20000
CTL021,Blue one xl,2,2022-04-20,20000
CTL021,Blue home l,1,2022-06-03,40000
CTL021,Blue home l,2,2022-12-30,80000
CTL021,Blue home l,2,2022-07-11,80000
CTL021,Blue go xxl,2,2022-09-26,70000
CTL022,Blue go xxl,2,2022-03-06,70000
CTL022,Blue go plus l,1,2022-11-03,40000
CTL022,Blue sky m,2,2022-06-30,40000
CTL022,Blue one s,2,2022-07-16,4000
CTL022,Blue sky l,2,2022-05-09,70000
CTL022,Blue one m,2,2022-05-15,6000
CTL022,Blue go xxl,1,2022-08-05,35000
CTL022,Blue go s,1,2022-07-11,2000
CTL022,Blue one m,2,2022-06-25,6000
CTL022,Blue go plus l,1,2022-05-15,40000
CTL022,Blue sky m,1,2022-12-24,20000
CTL023,Blue one s,1,2022-05-06,2000
CTL023,Blue go xxl,2,2022-12-23,70000
CTL023,Blue go l,2,2022-04-16,20000
CTL023,Blue sky l,1,2022-09-20,35000
CTL023,Blue go m,2,2022-01-19,10000
CTL023,Blue one s,2,2022-01-20,4000
CTL023,Blue home l,1,2022-11-19,40000
CTL023,Blue go plus l,1,2022-05-09,40000
CTL023,Blue one s,1,2022-05-02,2000
CTL023,Blue one s,2,2022-08-09,4000
CTL023,Blue go s,2,2022-05-08,4000
CTL023,Blue sky m,2,2022-11-29,40000
CTL023,Blue home l,2,2022-08-12,80000
CTL023,Blue one l,2,2022-01-04,10000
CTL024,Blue home l,1,2022-08-24,40000
CTL024,Blue home m,1,2022-02-14,25000
CTL024,Blue home s,2,2022-10-09,30000
CTL024,Blue go l,2,2022-07-12,20000
CTL024,Blue go m,1,2022-09-29,5000
CTL024,Blue go xl,1,2022-01-09,20000
CTL024,Blue go xxl,2,2022-04-05,70000
CTL024,Blue go l,1,2022-09-15,10000
CTL024,Blue one l,1,2022-10-17,5000
CTL025,Blue home m,2,2022-12-15,50000
CTL025,Blue one m,2,2022-08-07,6000
CTL025,Blue go xxl,1,2022-09-12,35000
CTL025,Blue one s,1,2022-08-12,2000
CTL025,Blue sky m,1,2022-08-21,20000
CTL025,Blue go plus m,1,2022-05-05,25000
CTL025,Blue one m,1,2022-02-19,3000
CTL026,Blue go m,2,2022-08-14,10000
CTL026,Blue one xl,1,2022-07-27,10000
CTL026,Blue sky l,1,2022-05-20,35000
CTL026,Blue one s,2,2022-05-08,4000
CTL026,Blue go plus S,1,2022-09-24,15000
CTL026,Blue go plus m,2,2022-07-22,50000
CTL026,Blue go xxl,2,2022-01-31,70000
CTL026,Blue one m,2,2022-02-14,6000
CTL026,Blue go plus S,1,2022-05-23,15000
CTL026,Blue go plus l,2,2022-02-18,80000
CTL026,Blue one xl,1,2022-02-20,10000
CTL026,Blue one l,2,2022-06-16,10000
CTL027,Blue go xl,1,2022-10-28,20000
CTL027,Blue one m,1,2022-06-22,3000
CTL027,Blue one s,2,2022-12-30,4000
CTL027,Blue go s,2,2022-09-17,4000
CTL027,Blue one l,1,2022-12-19,5000
CTL027,Blue go xxl,2,2022-05-27,70000
CTL027,Blue one xl,1,2022-03-20,10000
CTL027,Blue sky m,2,2022-01-31,40000
CTL027,Blue one s,1,2022-05-09,2000
CTL027,Blue one xl,1,2022-07-22,10000
CTL027,Blue go plus l,1,2022-05-16,40000
CTL027,Blue home m,1,2022-03-20,25000
CTL027,Blue home s,1,2022-10-18,15000
CTL027,Blue one xl,1,2022-08-20,10000
CTL028,Blue one m,1,2022-03-12,3000
CTL028,Blue one l,2,2022-09-14,10000
CTL028,Blue home m,1,2022-04-09,25000
CTL028,Blue go xxl,2,2022-08-06,70000
CTL028,Blue go s,2,2022-04-13,4000
CTL028,Blue go plus m,1,2022-11-10,25000
CTL028,Blue one m,2,2022-10-16,6000
CTL028,Blue home m,1,2022-12-02,25000
CTL028,Blue one s,1,2022-04-14,2000
CTL028,Blue home l,1,2022-08-27,40000
CTL028,Blue one s,1,2022-12-20,2000
CTL028,Blue go m,1,2022-01-18,5000
CTL028,Blue one l,1,2022-03-19,5000
CTL028,Blue go s,1,2022-02-15,2000
CTL029,Blue go m,2,2022-05-25,10000
CTL029,Blue home s,1,2022-12-19,15000
CTL029,Blue one m,2,2022-02-28,6000
CTL029,Blue sky l,2,2022-11-19,70000
CTL029,Blue one xl,1,2022-12-03,10000
CTL029,Blue one s,2,2022-05-11,4000
CTL029,Blue go xxl,1,2022-05-23,35000
CTL030,Blue home m,1,2022-09-28,25000
CTL030,Blue go l,1,2022-07-20,10000
CTL030,Blue home m,1,2022-02-07,25000
CTL030,Blue one xl,1,2022-06-21,10000
CTL030,Blue home s,2,2022-11-25,30000
CTL030,Blue go plus l,2,2022-02-07,80000
CTL030,Blue go xl,1,2022-12-20,20000
CTL030,Blue go plus m,2,2022-05-15,50000
CTL030,Blue home s,2,2022-03-16,30000
CTL030,Blue home s,2,2022-08-31,30000
CTL031,Blue one l,2,2022-03-11,10000
CTL031,Blue one s,1,2022-08-25,2000
CTL031,Blue one xl,2,2022-10-21,20000
CTL031,Blue go plus m,2,2022-02-10,50000
CTL031,Blue go xxl,1,2022-03-25,35000
CTL031,Blue home l,1,2022-02-03,40000
CTL031,Blue go plus S,1,2022-05-15,15000
CTL032,Blue go m,2,2022-08-22,10000
CTL032,Blue one s,2,2022-06-07,4000
CTL032,Blue go m,2,2022-06-28,10000
CTL032,Blue one m,1,2022-11-19,3000
CTL032,Blue home m,2,2022-07-15,50000
CTL032,Blue go m,1,2022-03-07,5000
CTL032,Blue sky m,1,2022-09-02,20000
CTL032,Blue one l,1,2022-04-20,5000
CTL032,Blue go m,1,2022-11-13,5000
CTL032,Blue go l,2,2022-07-08,20000
CTL033,Blue home m,2,2022-11-20,50000
CTL033,Blue go s,1,2022-10-31,2000
CTL033,Blue one xl,2,2022-07-17,20000
CTL033,Blue go s,2,2022-10-05,4000
CTL033,Blue go xxl,1,2022-03-07,35000
CTL033,Blue go xxl,2,2022-07-18,70000
CTL033,Blue go xl,1,2022-12-10,20000
CTL033,Blue sky l,2,2022-06-30,70000
CTL033,Blue sky m,2,2022-08-07,40000
CTL033,Blue go m,2,2022-10-01,10000
CTL033,Blue go l,1,2022-07-14,10000
CTL034,Blue go plus S,2,2022-06-02,30000
CTL034,Blue go l,1,2022-08-21,10000
CTL034,Blue go m,1,2022-02-22,5000
CTL034,Blue one l,2,2022-01-29,10000
CTL034,Blue one xl,2,2022-10-12,20000
CTL034,Blue sky l,1,2022-04-04,35000
CTL034,Blue one l,1,2022-08-05,5000
CTL034,Blue one m,2,2022-09-26,6000
CTL035,Blue go plus l,1,2022-03-09,40000
CTL035,Blue home m,1,2022-11-28,25000
CTL035,Blue go s,1,2022-11-04,2000
CTL035,Blue go l,2,2022-12-11,20000
CTL035,Blue go s,1,2022-06-23,2000
CTL035,Blue go xl,2,2022-04-07,40000
CTL035,Blue one xl,2,2022-04-12,20000
CTL035,Blue home s,1,2022-10-26,15000
CTL035,Blue one l,1,2022-10-08,5000
CTL035,Blue go plus l,1,2022-10-03,40000
CTL035,Blue go s,2,2022-11-20,4000
CTL035,Blue go plus m,1,2022-10-19,25000
CTL035,Blue home m,2,2022-09-16,50000
CTL036,Blue go m,1,2022-06-14,5000
CTL036,Blue sky m,1,2022-10-25,20000
CTL036,Blue one l,2,2022-03-02,10000
CTL036,Blue go xxl,1,2022-01-16,35000
CTL036,Blue go plus S,1,2022-05-16,15000
CTL037,Blue home l,2,2022-07-30,80000
CTL037,Blue sky l,1,2022-05-17,35000
CTL037,Blue go plus l,1,2022-09-16,40000
CTL037,Blue go plus S,2,2022-04-07,30000
CTL037,Blue go xl,1,2022-09-02,20000
CTL037,Blue sky l,2,2022-10-15,70000
CTL037,Blue one xl,2,2022-10-14,20000
CTL037,Blue home l,2,2022-02-21,80000
CTL037,Blue sky l,1,2022-01-12,35000
CTL037,Blue go m,2,2022-03-04,10000
CTL037,Blue sky l,1,2022-03-23,35000
CTL038,Blue go l,1,2022-06-18,10000
CTL038,Blue one l,1,2022-04-10,5000
CTL038,Blue home m,2,2022-12-06,50000
CTL038,Blue go s,1,2022-04-30,2000
CTL038,Blue one l,1,2022-03-05,5000
CTL038,Blue one s,1,2022-12-17,2000
CTL038,Blue one l,1,2022-06-04,5000
CTL038,Blue home m,2,2022-05-07,50000
CTL039,Blue one l,1,2022-01-24,5000
CTL039,Blue go plus m,2,2022-01-25,50000
CTL039,Blue go xxl,1,2022-03-05,35000
CTL039,Blue home s,1,2022-08-03,15000
CTL039,Blue go xxl,2,2022-04-04,70000
CTL039,Blue one m,2,2022-06-14,6000
CTL039,Blue one m,1,2022-12-28,3000
CTL039,Blue go xxl,2,2022-07-01,70000
CTL039,Blue go s,1,2022-08-31,2000
CTL039,Blue home l,1,2022-09-15,40000
CTL039,Blue one xl,2,2022-10-09,20000
CTL040,Blue sky m,2,2022-12-20,40000
CTL040,Blue one xl,1,2022-10-10,10000
CTL040,Blue home l,2,2022-12-04,80000
CTL040,Blue one s,1,2022-01-29,2000
CTL040,Blue go m,1,2022-09-20,5000
CTL040,Blue one m,1,2022-12-20,3000
CTL040,Blue one l,2,2022-08-27,10000
CTL040,Blue go s,1,2022-08-18,2000
CTL040,Blue home l,2,2022-12-19,80000
CTL041,Blue go xxl,1,2022-05-06,35000
CTL041,Blue go plus l,1,2022-01-29,40000
CTL041,Blue home m,2,2022-09-29,50000
CTL041,Blue go m,2,2022-07-08,10000
CTL041,Blue sky m,1,2022-02-20,20000
CTL041,Blue go plus S,1,2022-09-19,15000
CTL041,Blue sky m,2,2022-10-01,40000
CTL041,Blue go s,1,2022-11-23,2000
CTL041,Blue go l,2,2022-07-24,20000
CTL041,Blue go xl,2,2022-11-22,40000
CTL041,Blue go xxl,1,2022-12-23,35000
CTL041,Blue one l,2,2022-03-25,10000
CTL042,Blue sky l,1,2022-08-05,35000
CTL042,Blue one s,2,2022-12-01,4000
CTL042,Blue home l,1,2022-07-01,40000
CTL042,Blue home m,1,2022-05-31,25000
CTL042,Blue home m,1,2022-05-22,25000
CTL042,Blue go m,1,2022-09-05,5000
CTL042,Blue go xl,2,2022-01-25,40000
CTL042,Blue one m,2,2022-10-09,6000
CTL042,Blue go xxl,1,2022-01-01,35000
CTL042,Blue go plus l,1,2022-04-05,40000
CTL042,Blue go plus l,2,2022-08-25,80000
CTL043,Blue sky m,1,2022-02-12,20000
CTL043,Blue sky m,2,2022-01-14,40000
CTL043,Blue go xl,2,2022-09-17,40000
CTL043,Blue home s,2,2022-11-22,30000
CTL043,Blue go plus l,2,2022-03-28,80000
CTL043,Blue go s,2,2022-01-20,4000
CTL043,Blue go s,2,2022-04-24,4000
CTL043,Blue home m,1,2022-05-24,25000
CTL043,Blue one s,1,2022-04-14,2000
CTL043,Blue sky l,2,2022-02-20,70000
CTL043,Blue go s,1,2022-04-09,2000
CTL044,Blue go l,2,2022-06-18,20000
CTL044,Blue go m,2,2022-12-12,10000
CTL044,Blue go plus m,2,2022-02-05,50000
CTL044,Blue go s,1,2022-05-16,2000
CTL044,Blue one l,2,2022-07-30,10000
CTL044,Blue one m,1,2022-10-10,3000
CTL044,Blue home m,2,2022-12-19,50000
CTL044,Blue one m,2,2022-02-07,6000
CTL045,Blue one xl,1,2022-08-25,10000
CTL045,Blue go plus l,1,2022-11-04,40000
CTL045,Blue one m,1,2022-09-08,3000
CTL045,Blue go xxl,2,2022-12-04,70000
CTL045,Blue one m,1,2022-03-25,3000
CTL045,Blue go xl,1,2022-11-26,20000
CTL045,Blue go xl,1,2022-01-05,20000
CTL045,Blue one m,2,2022-02-09,6000
CTL045,Blue home m,1,2022-04-06,25000
CTL045,Blue go xxl,2,2022-08-11,70000
CTL046,Blue go xl,1,2022-12-11,20000
CTL046,Blue home l,2,2022-12-25,80000
CTL046,Blue one xl,2,2022-05-14,20000
CTL046,Blue one l,2,2022-01-10,10000
CTL046,Blue one l,2,2022-03-25,10000
CTL046,Blue go plus l,2,2022-07-18,80000
CTL046,Blue home s,1,2022-08-04,15000
CTL047,Blue go s,2,2022-07-12,4000
CTL047,Blue go s,1,2022-02-17,2000
CTL047,Blue go plus l,2,2022-08-06,80000
CTL047,Blue home s,2,2022-09-20,30000
CTL047,Blue sky l,2,2022-12-04,70000
CTL047,Blue go plus S,2,2022-04-28,30000
CTL047,Blue sky m,1,2022-12-21,20000
CTL047,Blue go s,2,2022-03-07,4000
CTL047,Blue one l,1,2022-08-02,5000
CTL047,Blue go plus l,2,2022-04-30,80000
CTL047,Blue go xl,1,2022-02-04,20000
CTL047,Blue home m,1,2022-04-09,25000
CTL047,Blue go plus l,2,2022-07-21,80000
CTL048,Blue home s,2,2022-03-02,30000
CTL048,Blue go xl,2,2022-02-10,40000
CTL048,Blue go plus S,2,2022-03-03,30000
CTL048,Blue sky l,2,2022-11-10,70000
CTL048,Blue go xxl,1,2022-03-04,35000
CTL048,Blue go plus m,1,2022-10-26,25000
CTL048,Blue one l,1,2022-11-02,5000
CTL048,Blue go xxl,1,2022-05-29,35000
CTL048,Blue home l,1,2022-10-09,40000
CTL048,Blue one s,1,2022-04-26,2000
CTL049,Blue go xl,2,2022-09-29,40000
CTL049,Blue go plus S,2,2022-04-04,30000
CTL049,Blue one l,2,2022-11-18,10000
CTL049,Blue sky l,2,2022-04-03,70000
CTL049,Blue home l,2,2022-02-28,80000
CTL049,Blue one m,1,2022-10-25,3000
CTL049,Blue one m,2,2022-05-04,6000
CTL049,Blue home m,2,2022-07-02,50000
CTL049,Blue one s,1,2022-03-07,2000
CTL049,Blue home l,1,2022-02-06,40000
CTL049,Blue go xl,2,2022-01-15,40000
CTL049,Blue go plus m,2,2022-10-01,50000
CTL049,Blue go m,2,2022-04-15,10000
CTL049,Blue go l,2,2022-09-10,20000
CTL050,Blue home s,2,2022-07-10,30000
CTL050,Blue sky l,1,2022-05-30,35000
CTL050,Blue go xl,1,2022-10-08,20000
CTL050,Blue sky m,1,2022-02-14,20000
CTL050,Blue go l,1,2022-07-01,10000
CTL050,Blue home l,1,2022-08-31,40000
CTL050,Blue go s,1,2022-04-27,2000
CTL050,Blue sky m,1,2022-12-06,20000
CTL051,Blue go m,1,2022-08-07,5000
CTL051,Blue go m,1,2022-07-31,5000
CTL051,Blue go l,2,2022-06-16,20000
CTL051,Blue sky l,2,2022-12-24,70000
CTL051,Blue sky l,2,2022-06-01,70000
CTL051,Blue one l,2,2022-04-17,10000
CTL051,Blue go plus S,1,2022-05-05,15000
CTL051,Blue one xl,1,2022-08-01,10000
CTL051,Blue go m,2,2022-03-26,10000
CTL051,Blue go plus S,2,2022-08-16,30000
CTL051,Blue go plus l,2,2022-11-26,80000
CTL051,Blue go s,1,2022-08-29,2000
CTL051,Blue sky m,2,2022-02-20,40000
CTL052,Blue one xl,2,2022-11-21,20000
CTL052,Blue go xxl,2,2022-04-18,70000
CTL052,Blue go plus m,1,2022-06-30,25000
CTL052,Blue go m,1,2022-12-23,5000
CTL052,Blue go plus m,2,2022-06-17,50000
CTL052,Blue one l,2,2022-06-02,10000
CTL052,Blue go l,2,2022-10-06,20000
CTL052,Blue sky l,2,2022-04-20,70000
CTL052,Blue one xl,2,2022-08-24,20000
CTL052,Blue sky m,2,2022-06-25,40000
CTL053,Blue go xxl,1,2022-05-02,35000
CTL053,Blue go l,1,2022-07-25,10000
CTL053,Blue go s,2,2022-09-03,4000
CTL053,Blue go m,2,2022-10-06,10000
CTL053,Blue sky m,1,2022-12-30,20000
CTL053,Blue go m,2,2022-08-24,10000
CTL053,Blue home l,1,2022-11-20,40000
CTL053,Blue one xl,1,2022-03-15,10000
CTL053,Blue home l,1,2022-12-29,40000
CTL053,Blue sky l,2,2022-11-19,70000
CTL053,Blue one xl,2,2022-05-09,20000
CTL053,Blue home l,1,2022-06-24,40000
CTL053,Blue home s,1,2022-07-22,15000
CTL053,Blue go plus S,2,2022-09-13,30000
CTL054,Blue go xxl,2,2022-11-10,70000
CTL054,Blue go m,1,2022-03-01,5000
CTL054,Blue home m,2,2022-08-14,50000
CTL054,Blue go xxl,2,2022-08-10,70000
CTL054,Blue one l,2,2022-07-25,10000
CTL054,Blue one xl,2,2022-10-29,20000
CTL054,Blue go xxl,1,2022-07-27,35000
CTL054,Blue sky l,2,2022-04-11,70000
CTL054,Blue home m,2,2022-12-30,50000
CTL054,Blue go m,1,2022-01-25,5000
CTL055,Blue sky l,2,2022-09-18,70000
CTL055,Blue go m,1,2022-04-01,5000
CTL055,Blue go xxl,1,2022-03-24,35000
CTL055,Blue go xxl,1,2022-10-27,35000
CTL055,Blue sky l,2,2022-09-20,70000
CTL055,Blue home s,1,2022-01-15,15000
CTL055,Blue go plus l,2,2022-06-14,80000
CTL055,Blue go m,1,2022-09-13,5000
CTL055,Blue go xxl,1,2022-10-02,35000
CTL055,Blue home l,2,2022-09-22,80000
CTL055,Blue go plus m,1,2022-11-17,25000
CTL055,Blue go s,2,2022-12-08,4000
CTL055,Blue go plus S,2,2022-09-03,30000
CTL055,Blue home l,1,2022-09-10,40000
CTL056,Blue one xl,2,2022-07-30,20000
CTL056,Blue one l,1,2022-11-20,5000
CTL056,Blue one xl,1,2022-12-29,10000
CTL056,Blue one l,1,2022-04-27,5000
CTL056,Blue home l,1,2022-01-08,40000
CTL056,Blue home l,2,2022-03-13,80000
CTL056,Blue go plus m,1,2022-06-30,25000
CTL056,Blue go s,1,2022-01-26,2000
CTL056,Blue go m,1,2022-11-24,5000
CTL056,Blue sky l,2,2022-10-20,70000
CTL056,Blue home l,2,2022-06-28,80000
CTL057,Blue sky l,1,2022-10-01,35000
CTL057,Blue go plus m,1,2022-12-15,25000
CTL057,Blue one m,1,2022-07-10,3000
CTL057,Blue home l,2,2022-06-15,80000
CTL057,Blue one xl,2,2022-06-19,20000
